Start,Stop,Reset,'FACTORY I/O (Running)','FACTORY I/O (Paused)','FACTORY I/O (Reset)','Level meter','Flow meter',Setpoint,'FACTORY I/O (Time Scale)','Start light','Stop light','Reset light','FACTORY I/O (Run)','FACTORY I/O (Pause)','FACTORY I/O (Reset1)','Fill valve','Discharge valve',SP,PV,'FACTORY I/O (Camera Position)',millis,attack
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,26,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,42,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,60,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,75,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,88,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,104,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,119,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,135,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,149,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,165,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,180,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,196,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,211,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,226,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,241,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,256,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,274,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,288,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,307,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,319,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,334,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,350,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,366,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,381,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,397,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,413,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,428,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,444,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,460,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,475,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,490,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,505,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,521,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,536,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,552,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,568,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,586,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,599,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,616,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,630,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,646,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,662,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,677,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,692,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,707,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,723,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,739,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,754,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,770,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,785,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,801,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,816,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,831,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,848,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,863,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,880,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,894,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,909,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,925,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,940,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,955,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,971,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,987,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1003,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1018,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1033,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1049,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1064,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1080,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1096,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1111,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1127,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1142,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1158,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1174,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1190,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1205,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1221,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1238,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1253,0
