22.09.2021|14:58:06*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
22.09.2021|14:56:03*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
22.09.2021|14:53:44*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
22.09.2021|14:52:53*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
22.09.2021|14:51:52*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
22.09.2021|14:50:28*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
22.09.2021|14:49:18*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
22.09.2021|14:44:46*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
22.09.2021|14:38:54*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
22.09.2021|14:36:44*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
22.09.2021|14:12:53*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
22.09.2021|14:11:35*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
22.09.2021|14:07:09*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
20.09.2021|14:52:32*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
20.09.2021|14:50:53*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
20.09.2021|14:49:36*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
20.09.2021|14:48:58*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
20.09.2021|14:46:27*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
20.09.2021|14:36:35*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
20.09.2021|14:33:46*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
20.09.2021|14:32:02*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
20.09.2021|14:16:20*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
15.09.2021|14:13:25*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
15.09.2021|14:08:14*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
15.09.2021|13:58:44*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
